cuenta_id,nombre,saldo,edad,tipo
1109,Steve Rogers,4621.44,82,prestamo
1110,Jane Smith,57973.51,50,prestamo
1111,Felipe Soto,53822.47,76,prestamo
1112,Maria Gonzalez,14026.83,46,ahorro
1113,Diana Prince,5852.66,51,ahorro
1114,Valentina Diaz,34550.64,63,ahorro
1115,Camila Rojas,14750.77,43,ahorro
1116,Alice Brown,6669.35,63,ahorro
1117,Ignacio Villarroel,50926.23,87,otro
1118,Diana Prince,13558.94,83,prestamo
1119,John Doe,,87,prestamo
1120,Valentina Diaz,27766.21,33,ahorro
1121,John Doe,51751.97,59,prestamo
1122,Charlie Green,30076.57,61,prestamo
1123,Camila Rojas,34413.16,53,prestamo
1124,Ignacio Villarroel,51421.63,48,ahorro
1125,Felipe Soto,30125.99,19,-1
1126,Valentina Diaz,51552.57,56,prestamo
1127,Jane Smith,37902.77,50,ahorro
1128,Diana Prince,24882.13,50,prestamo
1129,Ignacio Villarroel,46884.45,86,-1
1130,Ignacio Villarroel,27986.0,66,prestamo
1131,Valentina Diaz,4559.24,69,prestamo
1132,Alice Brown,26860.43,68,prestamo
1133,Diana Prince,7764.88,41,prestamo
1134,Charlie Green,4108.41,68,hipoteca
1135,Pedro Alvarez,37200.7,28,prestamo
1136,Andres Castro,7846.78,54,
1137,Bob Johnson,28191.45,59,prestamo
1138,Andres Castro,35975.78,87,prestamo
1139,Ignacio Villarroel,21025.95,86,otro
1140,Felipe Soto,930.18,51,prestamo
1141,Felipe Soto,,86,prestamo
1142,Felipe Soto,47867.01,55,ahorro
1143,Alice Brown,38865.65,38,prestamo
1144,Alice Brown,54624.28,84,prestamo
1145,Ignacio Villarroel,17588.84,26,prestamo
1146,Ignacio Villarroel,17588.84,26,prestamo
1147,Jane Smith,9295.82,19,ahorro
1148,Diana Prince,2194.71,77,prestamo
1149,Felipe Soto,28367.76,68,hipoteca
1150,Valentina Diaz,42966.55,33,prestamo
1151,Maria Gonzalez,58932.32,30,ahorro
1152,Ignacio Villarroel,33109.92,23,
1153,Maria Gonzalez,13301.96,24,ahorro
1154,Ignacio Villarroel,23929.76,53,ahorro
1155,John Doe,5641.95,37,prestamo
1156,Jane Smith,-3258.42,25,prestamo
1157,Felipe Soto,45474.84,89,prestamo
1158,Felipe Soto,45474.84,89,prestamo
1159,Camila Rojas,11441.62,80,prestamo
1160,Camila Rojas,49219.29,12,ahorro
1161,Maria Gonzalez,22035.29,20,prestamo
1162,Diana Prince,9501.65,81,prestamo
1163,Steve Rogers,,5,ahorro
1164,Bob Johnson,34389.43,12,-1
1165,Bob Johnson,34389.43,12,-1
1166,Andres Castro,38443.33,28,prestamo
1167,Camila Rojas,16169.19,25,otro
1168,Jane Smith,43592.76,84,ahorro
1169,Alice Brown,33621.05,40,ahorro
1170,Felipe Soto,10258.52,72,prestamo
1171,Steve Rogers,54178.35,74,ahorro
1172,Diana Prince,19610.02,73,prestamo
1173,Pedro Alvarez,24006.31,75,prestamo
1174,Charlie Green,,56,ahorro
1175,Alice Brown,30822.91,53,hipoteca
1176,Karen Villagran,22214.85,37,ahorro
1177,Alice Brown,13281.01,110,prestamo
1178,Diana Prince,18233.48,30,ahorro
1179,Karen Villagran,49083.36,60,ahorro
1180,Valentina Diaz,38041.96,19,ahorro
1181,Pedro Alvarez,40516.02,46,ahorro
1182,Maria Gonzalez,9136.34,55,ahorro
1183,Maria Gonzalez,30258.84,51,ahorro
1184,Bob Johnson,34408.44,80,prestamo
1185,Camila Rojas,55471.04,110,ahorro
1186,Ignacio Villarroel,39427.97,59,prestamo
1187,Bob Johnson,,74,otro
1188,Alice Brown,3555.92,28,ahorro
1189,Andres Castro,6943.3,,prestamo
1190,John Doe,33063.36,84,ahorro
1191,Bob Johnson,,85,ahorro
1192,Charlie Green,797.55,,prestamo
1193,Charlie Green,53039.12,20,prestamo
1194,Steve Rogers,32034.17,80,ahorro
1195,Pedro Alvarez,18504.17,,hipoteca
1196,Camila Rojas,14401.42,63,prestamo
1197,Camila Rojas,14401.42,63,prestamo
1198,Pedro Alvarez,5541.36,68,-1
1199,Ignacio Villarroel,18949.25,37,ahorro
1200,Maria Gonzalez,12377.92,87,ahorro
1201,Camila Rojas,34021.2,36,ahorro
1202,Jane Smith,45996.47,36,ahorro
1203,Steve Rogers,11519.64,53,
1204,Steve Rogers,11519.64,53,
1205,Jane Smith,22625.38,78,prestamo
1206,Maria Gonzalez,58138.26,22,ahorro
1207,Steve Rogers,57295.53,26,ahorro
1208,Karen Villagran,46640.02,49,prestamo
1209,Valentina Diaz,52584.24,86,prestamo
1210,Pedro Alvarez,14969.58,23,prestamo
1211,Camila Rojas,26541.37,24,prestamo
1212,Felipe Soto,3556.44,55,prestamo
1213,Bob Johnson,46790.25,130,prestamo
1214,Camila Rojas,,75,prestamo
1215,Andres Castro,41595.53,29,ahorro
1216,Felipe Soto,5392.8,110,ahorro
1217,Camila Rojas,,66,ahorro
1218,Diana Prince,42809.24,36,ahorro
1219,Charlie Green,8154.79,41,prestamo
1220,Karen Villagran,643.31,81,ahorro
1221,Alice Brown,36126.1,74,prestamo
1222,Alice Brown,36126.1,74,prestamo
1223,Valentina Diaz,,29,prestamo
1224,Bob Johnson,27483.67,89,prestamo
1225,Andres Castro,45578.99,66,prestamo
1226,Jane Smith,25001.35,53,ahorro
1227,Alice Brown,29174.68,85,ahorro
1228,Andres Castro,34636.02,58,prestamo
1229,Andres Castro,11040.46,81,prestamo
1230,Camila Rojas,,,ahorro
1231,Jane Smith,20227.4,71,ahorro
1232,Ignacio Villarroel,18674.02,50,ahorro
1233,Diana Prince,34264.62,61,ahorro
1234,Valentina Diaz,47896.09,79,prestamo
1235,Maria Gonzalez,27909.46,86,prestamo
1236,Andres Castro,1417.49,58,prestamo
1237,Diana Prince,2161.04,12,prestamo
1238,Ignacio Villarroel,7275.62,67,ahorro
1239,Charlie Green,29974.15,52,prestamo
1240,Charlie Green,29974.15,52,prestamo
1241,Alice Brown,9498.44,79,otro
1242,Maria Gonzalez,6165.62,36,prestamo
1243,Pedro Alvarez,42906.54,22,ahorro
1244,John Doe,53384.4,29,ahorro
1245,Felipe Soto,38439.4,,prestamo
1246,Alice Brown,16577.46,74,prestamo
1247,Jane Smith,16481.81,62,ahorro
1248,Felipe Soto,20522.71,57,ahorro
1249,Bob Johnson,23697.43,5,ahorro
1250,Andres Castro,12129.38,57,prestamo
1251,Felipe Soto,55205.44,29,prestamo
1252,Maria Gonzalez,53773.34,46,prestamo
1253,Diana Prince,2106.77,59,prestamo
1254,Diana Prince,7905.42,62,ahorro
1255,Valentina Diaz,32104.91,27,ahorro
1256,Steve Rogers,20640.64,79,ahorro
1257,Karen Villagran,14398.41,61,prestamo
1258,Jane Smith,6129.94,77,prestamo
1259,Charlie Green,38805.85,66,hipoteca
1260,Alice Brown,17702.74,37,ahorro
1261,Maria Gonzalez,56219.59,56,prestamo
1262,Andres Castro,7915.08,83,ahorro
1263,Diana Prince,58728.16,,hipoteca
1264,Charlie Green,42792.89,68,-1
1265,Steve Rogers,50646.66,42,ahorro
1266,Steve Rogers,8896.55,27,ahorro
1267,Ignacio Villarroel,53646.87,110,ahorro
1268,Andres Castro,27167.73,72,ahorro
1269,Bob Johnson,16374.25,48,ahorro
1270,Karen Villagran,29047.51,65,ahorro
1271,Bob Johnson,36721.22,28,prestamo
1272,Ignacio Villarroel,18956.23,87,ahorro
1273,Diana Prince,34565.73,83,ahorro
1274,Diana Prince,35978.9,22,
1275,Felipe Soto,39482.3,39,ahorro
1276,Camila Rojas,51131.28,34,prestamo
1277,Bob Johnson,36348.15,19,prestamo
1278,Camila Rojas,42136.26,40,prestamo
1279,Felipe Soto,35853.98,28,ahorro
1280,Valentina Diaz,43642.15,48,prestamo
1281,Karen Villagran,49226.0,,prestamo
1282,Maria Gonzalez,41105.54,86,prestamo
1283,Charlie Green,27094.59,,prestamo
1284,Pedro Alvarez,57384.16,130,ahorro
1285,Andres Castro,15544.03,52,prestamo
1286,Maria Gonzalez,40759.77,42,ahorro
1287,Diana Prince,31658.28,19,ahorro
1288,Diana Prince,,22,prestamo
1289,Karen Villagran,7462.63,33,ahorro
1290,Bob Johnson,28177.25,41,ahorro
1291,Ignacio Villarroel,46909.66,59,prestamo
1292,John Doe,16100.49,51,prestamo
1293,Maria Gonzalez,6773.3,40,-1
1294,Steve Rogers,4653.29,51,ahorro
1295,Steve Rogers,4653.29,51,ahorro
1296,Steve Rogers,56412.69,18,prestamo
1297,Steve Rogers,41448.9,18,ahorro
1298,Jane Smith,38046.67,56,prestamo
1299,Jane Smith,17610.53,110,prestamo
1300,Pedro Alvarez,53818.7,56,prestamo
