cuenta_id,nombre,saldo,edad,tipo
135,John Doe,12000,40,prestamo
106,Charlie Green,8000,25,prestamo
140,Jane Smith,7000,25,prestamo
111,Alice Brown,5000,45,prestamo
113,Bob Johnson,5000,35,prestamo
111,Steve Rogers,10000,30,ahorro
119,Unknown,5000,40,prestamo
102,Charlie Green,10000,35,prestamo
142,Alice Brown,10000,25,ahorro
105,Alice Brown,10000,25,prestamo
125,Diana Prince,5000,35,prestamo
123,John Doe,7000,25,prestamo
137,Alice Brown,7000,40,ahorro
118,Jane Smith,12000,35,ahorro
128,Diana Prince,8000,40,ahorro
149,Bob Johnson,5000,45,ahorro
140,Charlie Green,8000,30,prestamo
122,Unknown,10000,30,ahorro
117,Unknown,5000,45,ahorro
128,Unknown,10000,30,prestamo
149,Steve Rogers,7000,25,ahorro
106,Unknown,8000,25,ahorro
113,Diana Prince,5000,35,ahorro
106,Diana Prince,10000,35,ahorro
128,Diana Prince,7000,35,prestamo
108,John Doe,8000,25,prestamo
108,Jane Smith,5000,35,prestamo
114,Unknown,8000,35,ahorro
132,John Doe,12000,45,prestamo
106,Alice Brown,8000,40,prestamo
109,John Doe,7000,40,prestamo
130,Steve Rogers,5000,30,ahorro
122,Bob Johnson,10000,40,ahorro
128,John Doe,5000,30,prestamo
119,John Doe,5000,35,prestamo
108,Alice Brown,5000,45,ahorro
123,Diana Prince,10000,25,ahorro
135,Bob Johnson,10000,30,prestamo
149,Steve Rogers,8000,25,prestamo
115,Charlie Green,5000,35,prestamo
110,Charlie Green,10000,25,prestamo
122,Alice Brown,5000,30,ahorro
144,John Doe,7000,45,ahorro
128,John Doe,12000,40,ahorro
122,Steve Rogers,10000,40,ahorro
141,Bob Johnson,5000,40,prestamo
105,Steve Rogers,10000,35,ahorro
117,Diana Prince,12000,30,prestamo
